timestamp,city,aqi,pm2_5,pm10,co,no,no2,o3,so2,nh3,temp,humidity,wind_speed,pressure,visibility,hour,day_of_week,day_of_month,month,is_weekend,quarter,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_6,aqi_lag_12,aqi_lag_24,pm2_5_lag_1,pm10_lag_1,no2_lag_1,o3_lag_1,aqi_roll_mean_3d,aqi_roll_std_3d,aqi_roll_mean_7d,aqi_roll_std_7d,aqi_roll_mean_14d,aqi_roll_std_14d,aqi_diff_1h,aqi_diff_3h,aqi_pct_1h,pm_ratio,no2_o3_ratio,aqi_ewm_12h,aqi_ewm_24h,aqi_ewm_72h
2026-02-01 15:00:00+00:00,Sukkur,147.5,52.32,55.25,570.98,21.69,45.03,50.56,19.65,8.85,19.3,83.1,5.1,1015.3,7.1,15,6,1,2,1,1,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,99.5,107.8,108.3,111.2,105.1,108.2,30.91,58.65,17.78,39.79,121.68,17.974740897849607,121.68,17.974740897849607,121.68,17.974740897849607,48.0,39.2,0.4824120603015076,0.9469683257918552,0.890625,111.36554718630808,115.5929681716404,114.52073223840388
2026-02-01 16:00:00+00:00,Sukkur,143.2,38.67,66.6,515.55,22.25,30.54,48.58,12.04,7.4,24.6,39.8,7.0,1004.7,7.0,16,6,1,2,1,1,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,147.5,99.5,107.8,124.5,131.0,128.6,52.32,55.25,45.03,50.56,122.51290322580644,18.270937613880747,122.51290322580644,18.270937613880747,122.51290322580644,18.270937613880747,-4.300000000000011,35.39999999999999,-0.0291525423728814,0.5806306306306307,0.6286537669822972,116.92469377302992,118.14553071790915,115.42427382091334
2026-02-01 17:00:00+00:00,Sukkur,129.6,48.02,57.64,540.0,18.53,33.38,53.39,9.64,8.48,24.1,70.1,3.2,1008.8,8.3,17,6,1,2,1,1,-0.9659258262890684,-0.2588190451025206,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,143.2,147.5,99.5,105.9,120.1,135.1,38.67,66.6,30.54,48.58,123.159375,18.342087322295395,123.159375,18.342087322295395,123.159375,18.342087322295395,-13.599999999999994,30.099999999999994,-0.0949720670391061,0.8331020124913255,0.6252107136167823,120.96704857717916,120.14988826047644,116.18525262034036
2026-02-01 18:00:00+00:00,Sukkur,149.2,52.16,73.99,690.28,26.03,43.85,60.19,11.81,5.6,31.1,95.7,10.9,1013.1,5.8,18,6,1,2,1,1,-1.0,-1.8369701987210292e-16,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,129.6,143.2,147.5,108.3,111.1,155.2,48.02,57.64,33.38,53.39,123.35454545454544,18.087998281130545,123.35454545454544,18.087998281130545,123.35454545454544,18.087998281130545,19.599999999999994,1.6999999999999886,0.1512345679012345,0.7049601297472632,0.7285263332779532,122.29519494992084,120.90589719963832,116.5527799458105
2026-02-01 19:00:00+00:00,Sukkur,149.9,48.51,69.34,555.27,21.73,30.99,34.16,13.58,8.47,27.8,67.8,5.8,1005.6,6.0,19,6,1,2,1,1,-0.9659258262890684,0.2588190451025203,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,149.2,129.6,143.2,107.8,105.5,160.1,52.16,73.99,43.85,60.19,124.11470588235294,18.35505268316553,124.11470588235294,18.35505268316553,124.11470588235294,18.35505268316553,0.700000000000017,6.700000000000017,0.004691689008043,0.6995961926737813,0.9072014051522248,126.43439572685608,123.16942542366726,117.44722433085678
2026-02-01 20:00:00+00:00,Sukkur,139.9,34.34,65.51,433.33,21.24,35.28,45.36,14.53,5.12,31.1,50.8,3.5,1003.9,6.1,20,6,1,2,1,1,-0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,149.9,149.2,129.6,99.5,91.2,131.1,48.51,69.34,30.99,34.16,124.85142857142856,18.60095461542342,124.85142857142856,18.60095461542342,124.85142857142856,18.60095461542342,-10.0,10.300000000000011,-0.0667111407605069,0.5241947794229889,0.7777777777777778,130.04448869195514,125.3078713897739,118.33634147247714
2026-02-01 21:00:00+00:00,Sukkur,127.5,37.26,53.51,516.5,15.88,34.19,53.3,12.61,8.74,33.7,62.6,4.4,1011.1,6.7,21,6,1,2,1,1,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,139.9,149.9,149.2,147.5,111.2,142.8,34.34,65.51,35.28,45.36,125.26944444444445,18.504066262688536,125.26944444444445,18.504066262688536,125.26944444444445,18.504066262688536,-12.400000000000006,-21.69999999999999,-0.0886347390993567,0.6963184451504392,0.6414634146341464,131.56072120088513,126.475241678592,118.92712663761476
2026-02-01 22:00:00+00:00,Sukkur,124.5,34.17,72.17,566.61,17.05,34.02,39.39,8.59,4.97,25.9,77.0,4.8,1002.9,5.8,22,6,1,2,1,1,-0.5000000000000004,0.8660254037844384,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,127.5,139.9,149.9,143.2,124.5,140.8,37.26,53.51,34.19,53.3,125.32972972972972,18.248940073708763,125.32972972972972,18.248940073708763,125.32972972972972,18.248940073708763,-3.0,-25.40000000000001,-0.0235294117647059,0.473465428848552,0.8636709824828638,130.93599486228743,126.55722234430463,119.16199988041984
2026-02-01 23:00:00+00:00,Sukkur,153.2,47.73,76.62,581.15,27.14,43.12,46.11,14.49,8.92,30.3,64.9,3.6,1004.1,5.3,23,6,1,2,1,1,-0.2588190451025215,0.965925826289068,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,124.5,127.5,139.9,129.6,105.9,154.2,34.17,72.17,34.02,39.39,125.3078947368421,18.00114683402064,125.3078947368421,18.00114683402064,125.3078947368421,18.00114683402064,28.69999999999999,13.299999999999985,0.2305220883534136,0.6229444009397024,0.9351550639774452,129.9458418065509,126.39264455676027,119.30824645903849
2026-02-02 00:00:00+00:00,Sukkur,152.7,48.13,85.77,710.32,27.65,30.95,38.47,15.51,8.46,24.8,47.5,3.1,1012.4,6.4,0,0,2,2,0,1,0.0,1.0,0.8660254037844386,0.5000000000000001,0.0,1.0,153.2,124.5,127.5,149.2,108.3,148.4,47.73,76.62,43.12,46.11,126.02307692307691,18.315616884570066,126.02307692307691,18.315616884570066,126.02307692307691,18.315616884570066,-0.5,25.19999999999999,-0.0032637075718016,0.5611519179200187,0.8045230049389135,133.52340460554308,128.53723299221946,120.23678765194154
